stateus,serial,statefip,ftotinc,momloc,parrule,edattan,edattand,yrschl,educus,pernum,momrule,sploc,nchild,age,sex,race,marst,agemarr,marrno,chborn,marrqtr,bpl,hispan,school,higrade,classwkr,wkswork1,uhrswork,incwage,poverty,incbus,incwelfr,widow,birthqtr,qage,qbirthmo,qbpl,qchborn,qeduc,qincbus,qincwage,qsex,quhrswor,qwkswork,birthfrac,age_qtr,r_black,hisp,r_oth,wkpay_lyr,incwage_orig,ftotinc_orig,nonwinc,ftotinc_temp,nonwinc_temp,l_ftotinc,l_nonwinc,age1,sex1,birthqtr1,qage1,qbirthmo1,qsex1,age_qtr1,age2,sex2,birthqtr2,qage2,qbirthmo2,qsex2,age_qtr2,age3,sex3,birthqtr3,qage3,qbirthmo3,qsex3,age_qtr3,age4,sex4,birthqtr4,qage4,qbirthmo4,qsex4,age_qtr4,age5,sex5,birthqtr5,qage5,qbirthmo5,qsex5,age_qtr5,age6,sex6,birthqtr6,qage6,qbirthmo6,qsex6,age_qtr6,age7,sex7,birthqtr7,qage7,qbirthmo7,qsex7,age_qtr7,age8,sex8,birthqtr8,qage8,qbirthmo8,qsex8,age_qtr8,age9,sex9,birthqtr9,qage9,qbirthmo9,qsex9,age_qtr9,age10,sex10,birthqtr10,qage10,qbirthmo10,qsex10,age_qtr10,age11,sex11,birthqtr11,qage11,qbirthmo11,qsex11,age_qtr11,age12,sex12,birthqtr12,qage12,qbirthmo12,qsex12,age_qtr12,age13,sex13,birthqtr13,qage13,qbirthmo13,qsex13,age_qtr13,age14,sex14,birthqtr14,qage14,qbirthmo14,qsex14,age_qtr14,age15,sex15,birthqtr15,qage15,qbirthmo15,qsex15,age_qtr15,age16,sex16,birthqtr16,qage16,qbirthmo16,qsex16,age_qtr16,age17,sex17,birthqtr17,qage17,qbirthmo17,qsex17,age_qtr17,ftotinc_father,age_father,sex_father,wkswork1_father,uhrswork_father,incwage_father,birthqtr_father,qage_father,qbirthmo_father,qsex_father,age_qtr_father,r_black_father,hisp_father,r_oth_father,wkpay_lyr_father,l_ftotinc_father,l_nonwinc_father,_father_merge,chborn_orig,age_21_35,age_36_50,count_child,cnum_2,cnum_mt2,cnum_mte2,cnum_mte2_test,age_oldest,age_youngest,age_oldest_qtr,f_boy,s_boy,twoboys,twogirls,samesex,twins,age_fbirth,age_fbirth_father,coll,l_incwage,l_wkswork1
39,3353584,39,26155.70248284,0,0,2,221,11,600,2,0,1,2,-6.9573333333333345,2,1,1,17,1,2,2,3900,0,1,140,3,0,0,0,168,0,455,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,12460,26155.70248284,26155.70248284,26155.70248284,10.171822513897098,10.171822513897098,5,1,4,0,0,0,5,2,1,4,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26155.70248284,24,1,52,40,25200.57851577,3,0,0,0,24.25,0,0,0,1,10.171822513897098,6.861841140506602,3,3,1,0,2,1,0,1,1,5,2,5,1,1,1,0,1,0,-2.543333333333333,19,0,0,0
47,4010908,47,38845.20661677,0,0,3,312,13,811,2,0,1,2,5.0426666666666655,2,1,1,18,1,2,3,4700,0,1,160,0,0,0,0,250,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,18505,38845.20661677,38845.20661677,38845.20661677,10.56733996637591,10.56733996637591,6,2,2,0,0,0,6.5,4,2,1,0,0,0,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38845.20661677,35,1,49,40,38845.20661677,3,0,0,0,35.25,0,0,0,1,10.56733996637591,0,3,3,1,0,2,1,0,1,1,6,4,6.5,0,0,0,1,1,0,7.456666666666667,28,1,0,0
18,1539766,18,61316.85951234,0,0,2,221,9,400,2,0,1,4,2.0426666666666655,2,1,1,16,2,4,3,1700,0,1,121,3,4,40,430.33057857,300,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,205,29210,60886.52893377,61316.85951234,60886.52893377,11.02381011693744,11.016767229455818,15,2,1,0,0,0,15.75,13,2,3,0,0,0,13.25,7,1,4,0,0,0,7,4,1,1,0,0,0,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61316.85951234,45,1,52,44,60886.52893377,3,0,0,0,45.25,0,0,0,1,11.02381011693744,6.064553700694061,3,5,1,0,4,0,1,1,1,15,4,15.75,0,0,0,1,1,0,-4.543333333333333,29,0,6.064553700694062,1.3862943611198906
19,1219888,19,15554.87603514,0,0,3,311,12,700,2,0,1,4,4.0426666666666655,2,1,1,23,1,4,3,1900,0,1,150,0,0,0,0,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,34.75,0,0,0,0,0,7410,15554.87603514,15554.87603514,15554.87603514,9.652129439845787,9.652129439845787,15,2,1,0,0,0,15.75,8,1,4,0,0,0,8,6,1,4,0,0,0,6,2,2,2,0,0,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15554.87603514,35,1,52,48,7147.68595137,4,0,0,0,35,0,0,0,1,9.652129439845787,9.036842581058114,3,5,1,0,4,0,1,1,1,15,2,15.75,0,1,0,0,0,0,-1.543333333333333,19,0,0,0
41,3546023,41,19774.21487868,0,0,3,311,12,700,2,0,1,2,-5.9573333333333345,2,3,1,22,1,2,3,4100,0,1,150,3,28,40,1060.0826447700001,127,0,905,0,1,0,0,0,0,0,0,1,0,0,0,0.75,24.75,1,0,0,1,505,9420,18714.13223391,19774.21487868,18714.13223391,9.892134089126062,9.837034251852895,4,1,2,0,0,0,4.5,1,2,2,0,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19774.21487868,23,1,30,40,14914.628101170001,2,0,0,0,23.5,1,0,0,1,9.892134089126062,8.488708688075988,3,3,1,0,2,1,0,1,1,4,1,4.5,1,0,0,0,0,0,-0.543333333333333,19,0,6.966102150831014,3.332204510175204
19,1208655,19,79842.06612639,0,0,3,312,13,811,2,0,1,2,2.0426666666666655,2,1,1,19,1,2,3,1900,0,1,160,3,40,40,12605.53719177,501,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,32.5,0,0,0,1,6005,38035,67236.52893462,79842.06612639,67236.52893462,11.287805788987056,11.115971964158858,12,1,3,0,0,0,12.25,11,1,2,0,0,0,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79842.06612639,33,1,52,60,67184.04959577,1,0,0,0,33.75,0,0,0,1,11.287805788987056,9.446046011276884,3,3,1,0,2,1,0,1,1,12,11,12.25,1,1,1,0,1,0,-0.543333333333333,21,1,9.441891456069738,3.6888794541139363
1,49337,1,41164.79339394,0,0,3,312,13,811,2,0,1,2,-0.9573333333333345,2,1,1,18,1,2,1,100,0,1,160,0,0,0,0,265,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,19610,41164.79339394,41164.79339394,41164.79339394,10.625338640746046,10.625338640746046,10,2,4,0,0,0,10,4,2,3,0,0,0,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41164.79339394,29,1,52,40,40944.380170770004,2,0,0,0,29.5,0,0,0,1,10.625338640746046,5.395504071713171,3,3,1,0,2,1,0,1,1,10,4,10,0,0,0,1,1,0,-1.543333333333333,19,1,0,0
54,4699173,54,29398.92562377,0,0,2,221,10,500,2,0,1,2,3.0426666666666655,2,1,1,17,1,2,1,5400,0,1,130,0,0,0,0,189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,33.75,0,0,0,0,0,14005,29398.92562377,29398.92562377,29398.92562377,10.288713409249862,10.288713409249862,15,1,1,0,0,0,15.75,13,1,4,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29398.92562377,38,1,22,40,29398.92562377,3,0,0,0,38.25,0,0,0,1,10.288713409249862,0,3,3,1,0,2,1,0,1,1,15,13,15.75,1,1,1,0,1,0,-2.543333333333333,22,0,0,0
48,4296391,48,95533.38844254,0,0,2,221,10,500,2,0,1,3,1.0426666666666655,2,3,1,20,1,3,3,4800,0,1,131,4,52,50,47241.90083277,501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,31.75,1,0,0,1,22505,45510,48291.48760977,95533.38844254,48291.48760977,11.467231082566341,10.785010584145223,14,1,2,0,0,0,14.5,13,2,3,0,0,0,13.25,4,2,4,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95533.38844254,30,1,48,50,48291.48760977,2,0,0,0,30.5,1,0,0,1,11.467231082566341,10.763036507282687,3,4,1,0,3,0,1,1,1,14,4,14.5,1,0,0,0,0,0,-3.543333333333333,16,0,10.763036507282687,3.9512437185814275
2,4953,2,119673.88431354001,0,0,2,221,11,600,2,0,1,2,2.0426666666666655,2,9,1,20,1,2,2,50200,0,1,140,3,0,0,0,501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,32.75,0,0,1,0,0,57010,119673.88431354001,119673.88431354001,119673.88431354001,11.692525691581281,11.692525691581281,11,2,1,0,0,0,11.75,9,1,3,0,0,0,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119673.88431354001,34,1,52,40,94473.30579777001,3,0,0,0,34.25,0,0,0,1,11.692525691581281,10.134622230211008,3,3,1,0,2,1,0,1,1,11,9,11.75,0,1,0,0,0,0,0.456666666666667,22,0,0,0
